Project Type,Project Scope Complexity,Project Location,Technical Feasibility,Financial Feasibility,Bid Bond or Guarantee,Contract Terms,Project Timeline Months,Project Budget,Relevant Experience,Internal Resources Available,Subcontractors Work,Partner or Joint Venture,Regulatory Issues,Risk Level,Outcome of Risks,Market Demand,Client Reliability,Strategic Alignment,Long Term Impact,Initial Go NoGo Decision
"Roads, Highways, and Bridges Construction",Low,Riyadh,Challenging,Feasible,No,Favorable,24 - 36 Months,50 - 100 Million,Yes,Yes,No,No,Minor,Low,Unmitigated,High,High,High,High,Go
"Roads, Highways, and Bridges Construction",Low,Jeddah,Challenging,Feasible,Yes,Favorable,12 - 24 Months,10 - 50 Million,Yes,Yes,No,No,Minor,Medium,Unmitigated,High,Low,Medium,Low,Go
Infrastructure Development,Low,Riyadh,Feasible,Feasible,Yes,Favorable,6 - 12 Months,10 - 50 Million,Yes,Yes,No,Yes,Minor,Medium,Unmitigated,High,High,High,High,Go
"Roads, Highways, and Bridges Construction",Low,Tabuk & Khamis Mushait,Feasible,Feasible,Yes,Favorable,12 - 24 Months,10 - 50 Million,Yes,Yes,No,Yes,None,Medium,Unmitigated,High,High,High,Medium,Go
Rehabilitation & Repair,Low,Riyadh,Feasible,Feasible,Yes,Favorable,6 - 12 Months,10 - 50 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,High,High,High,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Hail,Feasible,Feasible,Yes,Favorable,24 - 36 Months,50 - 100 Million,Yes,Yes,No,Yes,Minor,Medium,Unmitigated,High,High,Medium,High,Go
"Roads, Highways, and Bridges Construction",Low,Riyadh,Feasible,Feasible,Yes,Favorable,Above  48 Months,150 - 200 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,High,High,High,High,Go
"Roads, Highways, and Bridges Construction",Low,Al Qassim,Feasible,Unfeasible,Yes,Favorable,36 - 48 Months,200 - 300 Million,No,Yes,No,No,Minor,Medium,Mitigated,High,High,Medium,High,Go
"Roads, Highways, and Bridges Construction",Low,Riyadh,Challenging,Feasible,Yes,Favorable,36 - 48 Months,100 - 150 Million,Yes,Yes,No,No,Minor,Medium,Unmitigated,High,Medium,High,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Riyadh,Challenging,Feasible,No,Neutral,36 - 48 Months,50 - 100 Million,Yes,Yes,No,No,Major,Medium,Mitigated,High,Medium,High,Medium,Go
"Roads, Highways, and Bridges Construction",Medium,Riyadh,Challenging,Feasible,No,Neutral,6 - 12 Months,50 - 100 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,High,Low,Medium,Go
"Roads, Highways, and Bridges Construction",Medium,Al Qassim,Challenging,Feasible,No,Neutral,36 - 48 Months,50 - 100 Million,Yes,Yes,No,No,None,Medium,Unmitigated,High,Medium,High,Medium,Go
"Roads, Highways, and Bridges Construction",Medium,Al Qassim,Feasible,Unfeasible,Yes,Favorable,36 - 48 Months,50 - 100 Million,No,Yes,No,Yes,Minor,Medium,Unmitigated,High,Low,High,Medium,Go
"Roads, Highways, and Bridges Construction",Medium,Al Qassim,Challenging,Unfeasible,Yes,Favorable,36 - 48 Months,100 - 150 Million,No,Yes,No,Yes,None,Medium,Mitigated,High,High,Medium,High,Go
"Roads, Highways, and Bridges Construction",High ,Al Qassim,Feasible,Feasible,Yes,Neutral,36 - 48 Months,50 - 100 Million,No,Yes,No,Yes,None,Low,Unmitigated,High,High,High,High,Go
"Roads, Highways, and Bridges Construction",Medium,Al Qassim,Challenging,Feasible,Yes,Neutral,36 - 48 Months,50 - 100 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,Medium,Low,High,Go
Infrastructure Development,Medium,Riyadh,Challenging,Feasible,Yes,Neutral,12 - 24 Months,10 - 50 Million,No,Yes,No,No,None,Low,Unmitigated,High,High,High,Medium,Go
Infrastructure Development,High ,Riyadh,Feasible,Feasible,Yes,Neutral,12 - 24 Months,50 - 100 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,High,Medium,High,Low,Go
Infrastructure Development,Medium,Riyadh,Feasible,Feasible,No,Neutral,24 - 36 Months,50 - 100 Million,Yes,Yes,No,No,None,Low,Unmitigated,High,High,High,Medium,Go
"Roads, Highways, and Bridges Construction",High ,Riyadh,Challenging,Feasible,No,Neutral,Above  48 Months,10 - 50 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,Low,High,High,Go
"Roads, Highways, and Bridges Construction",Medium,Abha,Feasible,Feasible,Yes,Neutral,Above  48 Months,200 - 300 Million,No,No,Yes,Yes,Minor,Medium,Unmitigated,High,Medium,Medium,Medium,Go
"Roads, Highways, and Bridges Construction",Medium,Al Madinah,Feasible,Feasible,No,Neutral,24 - 36 Months,50 - 100 Million,No,Yes,No,Yes,Minor,Medium,Unmitigated,High,High,Medium,Medium,Go
Maintenance Work,High ,Northern Region,Feasible,Feasible,Yes,Favorable,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,Minor,Medium,Unmitigated,High,High,High,High,Go
Maintenance Work,High ,Northern Region,Feasible,Feasible,Yes,Favorable,24 - 36 Months,50 - 100 Million,No,Yes,No,No,Minor,Medium,Mitigated,High,High,Medium,High,Go
Maintenance Work,Low,Riyadh,Feasible,Feasible,Yes,Favorable,24 - 36 Months,150 - 200 Million,No,Yes,No,Yes,None,Low,Unmitigated,High,High,High,High,Go
Maintenance Work,Low,Riyadh,Feasible,Feasible,Yes,Favorable,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,Minor,Medium,Mitigated,High,Medium,High,Low,Go
Maintenance Work,Low,Eastern Province,Feasible,Feasible,Yes,Favorable,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,None,Low,Unmitigated,High,High,High,Medium,Go
Maintenance Work,Low,Eastern Province,Feasible,Feasible,Yes,Favorable,24 - 36 Months,50 - 100 Million,No,Yes,No,Yes,Minor,Medium,Mitigated,High,Medium,Medium,Medium,Go
Maintenance Work,Low,Eastern Province,Feasible,Feasible,Yes,Favorable,24 - 36 Months,50 - 100 Million,Yes,Yes,No,Yes,Minor,Medium,Unmitigated,High,High,Medium,Medium,Go
Maintenance Work,Low,Eastern Province,Feasible,Feasible,Yes,Favorable,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,Medium,Medium,Medium,Go
Maintenance Work,Medium,Makkah,Feasible,Feasible,Yes,Favorable,24 - 36 Months,10 - 50 Million,Yes,Yes,No,Yes,Minor,Medium,Unmitigated,High,High,Medium,High,Go
Maintenance Work,Medium,Al Madinah,Feasible,Feasible,Yes,Favorable,24 - 36 Months,50 - 100 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,High,High,Medium,Go
Maintenance Work,Medium,Al Madinah,Challenging,Feasible,Yes,Favorable,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,Minor,Medium,Unmitigated,High,Medium,Medium,High,Go
Maintenance Work,Medium,Al Qassim,Challenging,Feasible,Yes,Favorable,24 - 36 Months,50 - 100 Million,Yes,Yes,No,No,Minor,Low,Unmitigated,High,High,Medium,High,Go
Maintenance Work,Low,Al Qassim,Challenging,Feasible,Yes,Favorable,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,Minor,Medium,Unmitigated,High,High,High,High,Go
Maintenance Work,Low,Al Qassim,Challenging,Feasible,Yes,Favorable,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,Major,Medium,Unmitigated,High,High,High,High,Go
Maintenance Work,Low,Al Qassim,Feasible,Feasible,Yes,Neutral,24 - 36 Months,10 - 50 Million,Yes,Yes,No,Yes,Minor,Medium,Mitigated,High,High,High,Low,Go
Maintenance Work,Low,Al Qassim,Challenging,Feasible,Yes,Neutral,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,None,Medium,Unmitigated,High,High,Medium,Medium,Go
Maintenance Work,Low,Aseer,Feasible,Feasible,Yes,Neutral,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,Minor,Medium,Unmitigated,High,High,High,Medium,Go
Maintenance Work,Low,Aseer,Challenging,Feasible,Yes,Neutral,24 - 36 Months,50 - 100 Million,Yes,Yes,No,Yes,None,Medium,Unmitigated,High,High,High,Medium,Go
Maintenance Work,Low,Aseer,Challenging,Feasible,Yes,Neutral,24 - 36 Months,10 - 50 Million,Yes,Yes,No,No,Minor,Medium,Unmitigated,High,Low,Medium,Low,Go
Maintenance Work,Low,Aseer,Feasible,Feasible,Yes,Neutral,24 - 36 Months,10 - 50 Million,Yes,Yes,Yes,No,Minor,Medium,Unmitigated,High,Medium,High,Medium,Go
Maintenance Work,Low,Jazan,Feasible,Feasible,Yes,Neutral,24 - 36 Months,50 - 100 Million,Yes,Yes,Yes,No,Major,Medium,Mitigated,High,Medium,High,Medium,Go
Maintenance Work,Low,Jazan,Challenging,Feasible,Yes,Neutral,24 - 36 Months,50 - 100 Million,Yes,Yes,Yes,No,None,Medium,Mitigated,High,High,Low,Medium,Go
"Roads, Highways, and Bridges Construction",Low,Yanbu,Feasible,Feasible,Yes,Neutral,12 - 24 Months,50 - 100 Million,Yes,Yes,No,No,None,Medium,Unmitigated,High,Medium,High,Medium,NoGo
"Roads, Highways, and Bridges Construction",Low,Al Baha,Challenging,Feasible,Yes,Neutral,24 - 36 Months,10 - 50 Million,Yes,Yes,Yes,No,None,Medium,Mitigated,High,Medium,Low,High,NoGo
Drainage and Stormwater Construction,Medium,Riyadh,Challenging,Feasible,Yes,Neutral,24 - 36 Months,50 - 100 Million,No,Yes,Yes,No,None,Low,Unmitigated,High,High,High,Medium,NoGo
"Roads, Highways, and Bridges Construction",Low,Aseer,Challenging,Feasible,Yes,Neutral,36 - 48 Months,50 - 100 Million,Yes,Yes,Yes,No,None,Medium,Mitigated,High,Low,High,High,NoGo
"Roads, Highways, and Bridges Construction",Low,Aseer,Challenging,Feasible,Yes,Neutral,36 - 48 Months,50 - 100 Million,Yes,Yes,No,No,Major,Low,Unmitigated,High,Low,Medium,Medium,NoGo
"Roads, Highways, and Bridges Construction",Low,Aseer,Challenging,Feasible,Yes,Neutral,24 - 36 Months,10 - 50 Million,Yes,Yes,Yes,No,None,Medium,Mitigated,High,High,Medium,Low,NoGo
Drainage and Stormwater Construction,Low,Riyadh,Challenging,Feasible,Yes,Neutral,Above  48 Months,100 - 150 Million,Yes,Yes,No,No,None,Medium,Unmitigated,High,Medium,Medium,High,NoGo
"Roads, Highways, and Bridges Construction",Low,Aseer,Challenging,Feasible,Yes,Neutral,24 - 36 Months,50 - 100 Million,Yes,Yes,No,No,None,Low,Mitigated,High,Medium,High,High,NoGo
"Roads, Highways, and Bridges Construction",Low,Al Baha,Challenging,Challenging,Yes,Neutral,36 - 48 Months,50 - 100 Million,Yes,Yes,Yes,Yes,None,Low,Mitigated,High,Low,High,Low,NoGo
"Roads, Highways, and Bridges Construction",Low,Al Madinah,Challenging,Feasible,Yes,Neutral,24 - 36 Months,50 - 100 Million,Yes,Yes,No,Yes,None,Medium,Mitigated,High,High,Medium,High,NoGo
"Roads, Highways, and Bridges Construction",Low,Al Madinah,Challenging,Feasible,Yes,Neutral,24 - 36 Months,10 - 50 Million,Yes,No,No,Yes,Minor,Medium,Unmitigated,High,High,Low,Low,NoGo
"Roads, Highways, and Bridges Construction",Low,Al Baha,Challenging,Unfeasible,Yes,Favorable,36 - 48 Months,100 - 150 Million,No,Yes,No,Yes,None,Low,Unmitigated,High,High,Medium,High,NoGo
"Roads, Highways, and Bridges Construction",Low,Al Madinah,Challenging,Feasible,Yes,Favorable,Above  48 Months,50 - 100 Million,Yes,Yes,No,No,None,Medium,Mitigated,High,Low,High,High,NoGo
"Roads, Highways, and Bridges Construction",Low,Aseer,Feasible,Feasible,Yes,Neutral,12 - 24 Months,50 - 100 Million,Yes,Yes,No,No,None,Low,Unmitigated,High,High,High,High,NoGo
"Roads, Highways, and Bridges Construction",Low,Al Baha,Feasible,Feasible,Yes,Neutral,24 - 36 Months,50 - 100 Million,Yes,Yes,No,No,None,Low,Unmitigated,High,High,High,Medium,NoGo
